6,Bays116-B06A-02,,,,,,,,Future,Future,Future,Future,
,T10-A,T10-B,T10-C,T10-D,T10-E,T10-F,T10-G,T10-H,T10-I,T10-J,T10-K,T10-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,To  632 Beacon,,,,,,,,,
,,,,Rm. B01A,,,,,,,,,
,,,,,,,,,,,,,
,,,,(13-60 SM),,,,,,,,,
1,Splice,Spliced in 632,not in use,bent300 Circuit 12,Circuit 47,Circuit 62,beac610-b19c-02,Circuit 53,Future,Future,Future,Future,
2,Splice,Spliced in 632,Circuit #2,,,,comm595-l190 res01-gi3/6,,Future,Future,Future,Future,
3,Splice,Spliced in 632,Circuit 58,Circuit 52,Circuit 61,spliced,Res Router,Circuit 54,Future,Future,Future,Future,
4,Splice,Spliced in 632,,,,spliced,058-B81-01,,Future,Future,Future,Future,
5,Circuit 50,Spliced in 632,Circuit 11,Circuit 14,R3 #1 G3&6,spliced,comm500-03xx01,Res     3/1,Future,Future,Future,Future,
6,Rack 3,Spliced in 632,,,Circuit 79 (BUMC),spliced,comm685-130a-aca,070-OB01-01,Future,Future,Future,Future,
,T11-A,T11-B,T11-C,T11-D,T11-E,T11-F,T11-G,T11-H,T11-I,T11-J,T11-K,T11-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,* circuit 79 goes to BUMC alba650-core-aca01,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,
2,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,
3,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,
4,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,
5,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,
6,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,Future,
,T12-A,T12-B,T12-C,T12-D,T12-E,T12-F,T12-G,T12-H,T12-I,T12-J,T12-AK,T12-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Wall Rack,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,To 635 Comm. Ave.,,,,,,,,,,,,
,Rm. 192,,,,,,,,,,,,
,,,,,,,,,,,,,
,(73-120 SM),,,,,,,,,,,,
1,R- Slot 4 Port 4,R- Slot 4 Port 7,R- Slot 4 Port 10,Admin 4/17,Admin 4/20,Admin 8/2,#5 F1&2,Admin  8/10,T16 J5&6,Admin  7/5,Ad 7/14,comm629-01xxes01,
2,Bays210-B08-02,Bays192-B92-04,Bays172-B01A-02,COMM635--B87-02,635-592-03,635-392-04,535-B81-01,635-292-07,143-B008-04,635-692-03,621-B05-05,comm595-res,
3,R- Slot 4 Port 5,R- Slot 4 Port 12,R- Slot 4 Port 11,Admin 4/18,Admin 4/21,to T16 I1&2,Admin  8/7,Admin  8/11,Admi  7/3,Admin  7/6,comm685-130a-02,comm621-b05 03,
4,Bays206-B86-02,Bays188-B84-04,Bays168-B07-02,COMM635-192-03,635-592-04,Bays143-B00A-03,635-292-05,635-492-03,635-392-05,635-692-04,comm595-L190-R3,comm595-aca,
5,R- Slot 4 Port 6,R- Slot 4 Port 9,Admin 4/5,Admin 4/19,Admin 8/1,to T16 I3&4,Admin  8/9,Admin  8/12,Admin 7/4,Admin  7/7,rive150-td001-dist-gw01,comm500-03xx01,
6,Bays200-B81-02,Bays178-B81-03,621-B05-04,COMM635-292-04,635-392-03,Bays145-B81-03,635-292-06,635-492-04,635-392-06,635-192-04,comm595-l184-core-gw01,comm685-130a-aca,
,T13-A,T13-B,T13-C,T13-D,T13-E,T13-F,T13-G,T13-H,T13-U,T13-J,T13-K,T13-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Rack 7,,,,,,,,,,,,
,Rm. 192,,,,,,,,,,,,
,,24 strand to 635 Comm,,,,,,,,,,,
,(121-192 SM),,,,,,,,,,,,
,,,,,"circuits 180-184 fusion spliced in 635,685 and 775 Comm to 10 Buick",,circuits185-189  to 111 cumm LC connectors,,fusion spliced in 635 & 685 to 111 Cumm. Rm B05,,,,
1,comm595-l184-10,bays210-b08-1,bays178-b81-2,bays200-b81-3,comm881-dist-aca01 te8/1,circuit #183,comm595/cumm111 cir#185,splice,Circuit 110,Circuit 113,Circuit 116,Circuit 119,
2,comm881-326r12,comm595-l190,comm595-l190,comm595-l190,comm595-core-gw01 te1/1 cir#180,comm595-l190 -comm881-326r12,comm595/cumm111 cir#186,splice,cumm111,Rack 6,check fiber,cumm111-tunnel-gw03,
3,bays206-B86-1,bays212-b04-1,bays182-b04-1,bays166-b81-1,circuit #181,comm881-326  t-12,comm595/cumm111 cir#187,splice,Circuit 111,Circuit 114,Circuit 117,Circuit 120,
4,comm595-l190,comm595-l190,comm595-l190,comm595-l190,comm595-l190 -buic010-b99a,comm595-core- cir184,comm595/cumm111 cir#188,splice,Rack 3,Rack 6,Rack 7,,
5,bays208-b84-1,bays180-b06-1,bays188-b04-2,comm625-b84-1,comm881-326 s12,mary008-dist-res02 3/5,comm595/cumm111 cir#189,buic025-headend comcast,Circuit 112,Circuit 115,Circuit 118,comm595-l184es18,
6,comm595-l190,comm595-l190,comm595-l190,comm595-l90,comm595-core cir 182,comm595-core-6/2 cir 179,DARK  SM,comm595-bdr-gw01-sfp1 cir178,Rack 6,Rack 6,Rack 7,cumm111-0b05es63,
,T14-A,T14-B,T14-C,T14-D,T14-E,T14-F,T14-G,T14-H,T14-I,T14-J,T14-K,T14-L,
,,,,,,cir#179 fusion spliced in,spliced in 635 and 685 comm,,,,,,
,,,,,,"635,685,775,10 Buick, 890,",,,,,,,
,,,,,,808 and 520 Park to 8 ,,,,,,,
,,,,,,St. Mary B96,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Wall Rack,,,,,,,,,,,,,
,,,,,,,,,,,,,
,To 632 Beacon,,,,,,,,,,,,
,Rm. B01A,,,,,,,,,,,,
,,,,,,,,,,,,,
,( 61-132 SM),,,,,,,,,,,,
1,beac610-336c-01,Res  3/21,R- Slot 4 Port 3,R- Slot 4 Port 16,R- Slot 4 Port 19,R- Slot 4 Port 22,,beac610-782-01,beac610-582-02,1 Summer St.,,,
2,comm595-l190 res01gi3/15,Bays117-B83-03,Bays139-B03A-02,Beac521-0B08-02,Bays193-B81-02,Bays169-B04-02,Bays071-B08-05,comm595-l184 res6/3,comm595-l184 res6/6,111 Cumm. (VPN),Comm483-B18-03,Rale002-B7A-02,
3,beac610-382-01,R- Slot 4 Port 13,R- Slot 4 Port 2,R- Slot 4 Port 17,R- Slot 4 Port 20,R- Slot 4 Port 23,,beac610-782-02,beac610-382-02,,,,
4,comm595-l184 res3/16,Bays159-B87-03,Bays133-B91B-02,Beac531-B5B-02,Bays207-B82-05,Bays163-B82-02,Bays071-B08-06,comm595-l184 res6/4,comm595-l184 res6/7,Beac512-B08-07,Bays079-0BXXes01,Bays177-B05A-01,
5,Res  3/20,R- Slot 4 Port 14,R- Slot 4 Port 15,R- Slot 4 Port 18,R- Slot 4 Port 21,beac610-982-01,beac610-982-02,beac610-582-01,bays091-620-09,,,,
6,203-0BXX-01,Bays153-B05-02,Beac512-0B08-06,Bays203-B81-02,Bays177-B05A-02,comm595-l184 res3/16,comm595-l184 res6/2,comm595-l184 res6/5,comm595-res01-gi6/15,Comm483-B18-02,Bays081-0BXXes01,Rale002-B7A-03,
,T15-A,T15-B,T15-C,T15-D,T15-E,T15-F,T15-G,T15-H,T15-I,T15-J,T15-K,T15-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,To 632 Beacon,,,,,,,,,,,,
,Rm. B01A,,,,,,,,,,,,
,,,,,,,,,,,,,
,(133-204 SM),,,,,,,,,,,,
1,,,,Res 7/11,,Res 7/18,,Ad   4/3,to T13 F3&4,beac610-b19c-01,Circuit 37,Circuit 86 Holyoke,
2,Bays081-B05A-03,Bays159-0B01-01,Bays185-B82A-02,Bays191-B04-03,Beac512-B08-09,Bays084-B005-01,Bays091-620-08,Bays53-B90-02,Bays143-B00A-03,comm595-l190,,,
3,,,,,,,,Res   4-24,to T13 F5&6,Res  7/14,Circuit 38,Circuit 87,
4,Bays117-B83-04,Bays163-0BXXes01,Bays185-B82A-03,Bays211-2XX-02,Beac521-B08B-03,Bays091-B01A-10,Bays071-B08-07,Bays91-B01A-11,Bays145-B81-03,80-B03-01,,Holeyoke DC  #4,
5,,,,,,,,Res   7/16,Admin  8/5,T13 I1&2,Circuit 49,300 Bent,
6,Bays133-0BXX-es01,Bays177-B05A-03,Bays191-B04-02,Beac512-B08-08,Beac531-B08B-03,Bays091-620-07,Bays153-B05-03,Bays074-B91-01,091-B01A-12,143-B008-04,,595 Comm cir #88,
,T16-A,T16-B,T16-C,T16-D,T16-E,T16-F,T16-G,T16-H,T16-I,T16-J,T16-K,T16-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Wall Rack,,,,,,,,,,,,,
,To 632 Beacon,,,,,,,,,,,,
,,,,,,,,,,,,,
,(144 SM fiber cable) (204-348),,,,,,,,,,,,
,,,,,,,,,,,,,
